filename	status	image
001.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-001.tif/full/full/0/default.jpg
002.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-002.tif/full/full/0/default.jpg
003.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-003.tif/full/full/0/default.jpg
004.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-004.tif/full/full/0/default.jpg
005.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-005.tif/full/full/0/default.jpg
006.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-006.tif/full/full/0/default.jpg
007.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-007.tif/full/full/0/default.jpg
008.txt	initiated	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-008.tif/full/full/0/default.jpg
009.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-009.tif/full/full/0/default.jpg
010.txt	initiated	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-010.tif/full/full/0/default.jpg
011.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-011.tif/full/full/0/default.jpg
012.txt	initiated	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-012.tif/full/full/0/default.jpg
013.txt	initiated	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-013.tif/full/full/0/default.jpg
014.txt	initiated	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-014.tif/full/full/0/default.jpg
015.txt	completed	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-445-01/ikegami01-445-01-015.tif/full/full/0/default.jpg
